time,wx,wy,wz,a0,a1,a2,a3
1.800000000000000488e+00,8.578062761811248993e-02,7.314746791389059588e-02,5.008334728658828117e-02,9.938399816939122999e-01,7.764228022160574172e-02,6.430906645149972456e-02,4.602294080966895518e-02
1.900000000000000577e+00,8.569620527177439218e-02,7.332729298277762542e-02,4.995270367112796678e-02,9.931376809465127797e-01,8.189102212644142065e-02,6.795483121666548443e-02,4.851338056231067897e-02
2.000000000000000444e+00,8.561179614141024852e-02,7.350647245764559135e-02,4.982186777363833280e-02,9.923976579789283159e-01,8.613157853987403467e-02,7.160723944545156761e-02,5.099649865597934151e-02
2.100000000000000533e+00,8.552740237670901358e-02,7.368500660032309413e-02,4.969084135684879305e-02,9.916199480755180096e-01,9.036374713157782623e-02,7.526613189504484380e-02,5.347224675104814834e-02
2.200000000000000622e+00,8.544302612060901414e-02,7.386289568524123661e-02,4.955962617617273164e-02,9.908045880659125393e-01,9.458732629909892553e-02,7.893134888239444757e-02,5.594057681800254644e-02
2.300000000000000711e+00,8.535866950925317942e-02,7.404013999932070045e-02,4.942822397966650794e-02,9.899516163217341180e-01,9.880211517593213977e-02,8.260273029317877214e-02,5.840144113684590799e-02
2.400000000000000799e+00,8.527433467194496519e-02,7.421673984185872541e-02,4.929663650798926655e-02,9.890610727532566093e-01,1.030079136395272293e-01,8.628011559078220538e-02,6.085479229650191807e-02
2.500000000000000888e+00,8.519002373110515225e-02,7.439269552441600541e-02,4.916486549436354520e-02,9.881329988060075786e-01,1.072045223192243379e-01,8.996334382528105300e-02,6.330058319421373592e-02
2.600000000000000977e+00,8.510573880222940812e-02,7.456800737070355678e-02,4.903291266453666669e-02,9.871674374573120581e-01,1.113917426041188957e-01,9.365225364243809358e-02,6.573876703494033191e-02
2.700000000000001066e+00,8.502148199384672311e-02,7.474267571646948938e-02,4.890077973674291506e-02,9.861644332127752488e-01,1.155693766508553016e-01,9.734668329270484977e-02,6.816929733074994502e-02
2.800000000000001155e+00,8.493725540747854019e-02,7.491670090938576387e-02,4.876846842166647489e-02,9.851240321027119329e-01,1.197372273913500235e-01,1.010464706402316448e-01,7.059212790021129891e-02
2.900000000000001243e+00,8.485306113759878699e-02,7.509008330893494898e-02,4.863598042240517560e-02,9.840462816785147115e-01,1.238950985404434213e-01,1.047514531718840153e-01,7.300721286778232011e-02
3.000000000000001332e+00,8.476890127159460164e-02,7.526282328629686769e-02,4.850331743443499904e-02,9.829312310089670657e-01,1.280427946034807252e-01,1.084614680062655767e-01,7.541450666319697571e-02
3.100000000000001421e+00,8.468477788972791909e-02,7.543492122423532675e-02,4.837048114557533640e-02,9.817789306764995727e-01,1.321801208838218888e-01,1.121763519027464129e-01,7.781396402085023756e-02
3.200000000000001510e+00,8.460069306509782061e-02,7.560637751698483233e-02,4.823747323595505704e-02,9.805894327733909455e-01,1.363068834902804172e-01,1.158959412704966274e-01,8.020553997918149214e-02
3.300000000000001599e+00,8.451664886360364670e-02,7.577719257013723619e-02,4.810429537797929894e-02,9.793627908979107843e-01,1.404228893444906257e-01,1.196200721775240727e-01,8.258918988005645168e-02
3.400000000000001688e+00,8.443264734390888704e-02,7.594736680052852074e-02,4.797094923629703633e-02,9.780990601504100379e-01,1.445279461882043592e-01,1.233485803597162839e-01,8.496486936814802438e-02
3.500000000000001776e+00,8.434869055740586152e-02,7.611690063612548685e-02,4.783743646776941055e-02,9.767982971293556194e-01,1.486218625905160740e-01,1.270813012298855349e-01,8.733253439031614385e-02
3.600000000000001865e+00,8.426478054818116459e-02,7.628579451591260829e-02,4.770375872143881035e-02,9.754605599273095118e-01,1.527044479550168088e-01,1.308180698868166847e-01,8.969214119498686300e-02
3.700000000000001954e+00,8.418091935298184503e-02,7.645404888977881674e-02,4.756991763849868771e-02,9.740859081268549158e-01,1.567755125268769922e-01,1.345587211243171044e-01,9.204364633153083730e-02
3.800000000000002043e+00,8.409710900118237686e-02,7.662166421840445329e-02,4.743591485226412996e-02,9.726744027964691064e-01,1.608348673998579725e-01,1.383030894402684230e-01,9.438700664964165543e-02
3.900000000000002132e+00,8.401335151475240737e-02,7.678864097314817838e-02,4.730175198814318832e-02,9.712261064863427773e-01,1.648823245232524937e-01,1.420510090456792440e-01,9.672217929871385067e-02
4.000000000000001776e+00,8.392964890822518509e-02,7.695497963593404822e-02,4.716743066360892106e-02,9.697410832241457612e-01,1.689176967087537007e-01,1.458023138737382096e-01,9.904912172722100949e-02
4.100000000000001421e+00,8.384600318866677893e-02,7.712068069913863289e-02,4.703295248817217916e-02,9.682193985107422352e-01,1.729407976372532296e-01,1.495568375888672308e-01,1.013677916820941854e-01
