time,wx,wy,wz,a0,a1,a2,a3
1.400000000000000133e+00,8.611840593573480418e-02,7.242170690898394603e-02,5.060396341984835927e-02,3.033975516977028067e-02,2.494297162962156103e-02,1.802715648514939192e-02,0.000000000000000000e+00
1.500000000000000222e+00,8.603395235578684130e-02,7.260411671623574759e-02,5.047410670464138466e-02,3.249218064662084265e-02,2.676231207313412713e-02,1.929430015550926553e-02,0.000000000000000000e+00
1.600000000000000311e+00,8.594950332647662006e-02,7.278588001043444222e-02,5.034405058417452256e-02,3.464273906350807258e-02,2.858682796313287075e-02,2.055895132413628271e-02,0.000000000000000000e+00
1.700000000000000400e+00,8.586506102403067275e-02,7.296699700187124493e-02,5.021379685001559068e-02,3.679144787074475204e-02,3.041654826188659039e-02,2.182115467247918925e-02,0.000000000000000000e+00
1.800000000000000488e+00,8.578062761811248993e-02,7.314746791389059588e-02,5.008334728658828117e-02,3.893832452293963242e-02,3.225150218892929022e-02,2.308095472173993246e-02,0.000000000000000000e+00
1.900000000000000577e+00,8.569620527177439218e-02,7.332729298277762542e-02,4.995270367112796678e-02,4.108338647845186098e-02,3.409171922357745466e-02,2.433839583625913364e-02,0.000000000000000000e+00
2.000000000000000444e+00,8.561179614141024852e-02,7.350647245764559135e-02,4.982186777363833280e-02,4.322665119884727680e-02,3.593722910747954025e-02,2.559352222688778336e-02,0.000000000000000000e+00
2.100000000000000533e+00,8.552740237670901358e-02,7.368500660032309413e-02,4.969084135684879305e-02,4.536813614835622649e-02,3.778806184719812195e-02,2.684637795434563837e-02,0.000000000000000000e+00
2.200000000000000622e+00,8.544302612060901414e-02,7.386289568524123661e-02,4.955962617617273164e-02,4.750785879333254552e-02,3.964424771682504428e-02,2.809700693256680926e-02,0.000000000000000000e+00
2.300000000000000711e+00,8.535866950925317942e-02,7.404013999932070045e-02,4.942822397966650794e-02,4.964583660171333762e-02,4.150581726062997634e-02,2.934545293203304206e-02,0.000000000000000000e+00
2.400000000000000799e+00,8.527433467194496519e-02,7.421673984185872541e-02,4.929663650798926655e-02,5.178208704247923982e-02,4.337280129574283549e-02,3.059175958309516899e-02,0.000000000000000000e+00
2.500000000000000888e+00,8.519002373110515225e-02,7.439269552441600541e-02,4.916486549436354520e-02,5.391662758511474307e-02,4.524523091487043375e-02,3.183597037928321410e-02,0.000000000000000000e+00
2.600000000000000977e+00,8.510573880222940812e-02,7.456800737070355678e-02,4.903291266453666669e-02,5.604947569906829075e-02,4.712313748904782551e-02,3.307812868060566042e-02,0.000000000000000000e+00
2.700000000000001066e+00,8.502148199384672311e-02,7.474267571646948938e-02,4.890077973674291506e-02,5.818064885321173885e-02,4.900655267042473839e-02,3.431827771683834682e-02,0.000000000000000000e+00
2.800000000000001155e+00,8.493725540747854019e-02,7.491670090938576387e-02,4.876846842166647489e-02,6.031016451529887940e-02,5.089550839508756586e-02,3.555646059080345978e-02,0.000000000000000000e+00
2.900000000000001243e+00,8.485306113759878699e-02,7.509008330893494898e-02,4.863598042240517560e-02,6.243804015142257607e-02,5.279003688591736576e-02,3.679272028163916436e-02,0.000000000000000000e+00
3.000000000000001332e+00,8.476890127159460164e-02,7.526282328629686769e-02,4.850331743443499904e-02,6.456429322547026228e-02,5.469017065548430201e-02,3.802709964806030157e-02,0.000000000000000000e+00
3.100000000000001421e+00,8.468477788972791909e-02,7.543492122423532675e-02,4.837048114557533640e-02,6.668894119857737834e-02,5.659594250897899415e-02,3.925964143161064790e-02,0.000000000000000000e+00
3.200000000000001510e+00,8.460069306509782061e-02,7.560637751698483233e-02,4.823747323595505704e-02,6.881200152857834540e-02,5.850738554718127454e-02,4.049038825990721596e-02,0.000000000000000000e+00
3.300000000000001599e+00,8.451664886360364670e-02,7.577719257013723619e-02,4.810429537797929894e-02,7.093349166945485396e-02,6.042453316946681113e-02,4.171938264987711670e-02,0.000000000000000000e+00
3.400000000000001688e+00,8.443264734390888704e-02,7.594736680052852074e-02,4.797094923629703633e-02,7.305342907078091197e-02,6.234741907685207446e-02,4.294666701098742018e-02,0.000000000000000000e+00
3.500000000000001776e+00,8.434869055740586152e-02,7.611690063612548685e-02,4.783743646776941055e-02,7.517183117716443042e-02,6.427607727507816948e-02,4.417228364846849387e-02,0.000000000000000000e+00
3.600000000000001865e+00,8.426478054818116459e-02,7.628579451591260829e-02,4.770375872143881035e-02,7.728871542768492309e-02,6.621054207773405254e-02,4.539627476653132487e-02,0.000000000000000000e+00
3.700000000000001954e+00,8.418091935298184503e-02,7.645404888977881674e-02,4.756991763849868771e-02,7.940409925532691815e-02,6.815084810941955673e-02,4.661868247157933270e-02,0.000000000000000000e+00
3.800000000000002043e+00,8.409710900118237686e-02,7.662166421840445329e-02,4.743591485226412996e-02,8.151800008640877615e-02,7.009703030894888498e-02,4.783954877541506806e-02,0.000000000000000000e+00
3.900000000000002132e+00,8.401335151475240737e-02,7.678864097314817838e-02,4.730175198814318832e-02,8.363043534000647039e-02,7.204912393259498005e-02,4.905891559844236666e-02,0.000000000000000000e+00
4.000000000000001776e+00,8.392964890822518509e-02,7.695497963593404822e-02,4.716743066360892106e-02,8.574142242737199660e-02,7.400716455737543775e-02,5.027682477286440216e-02,0.000000000000000000e+00
4.100000000000001421e+00,8.384600318866677893e-02,7.712068069913863289e-02,4.703295248817217916e-02,8.785097875134598167e-02,7.597118808438035886e-02,5.149331804587811701e-02,0.000000000000000000e+00
4.200000000000001066e+00,8.376241635564604660e-02,7.728574466547821764e-02,4.689831906335512057e-02,8.995912170576413069e-02,7.794123074214280578e-02,5.270843708286553769e-02,0.000000000000000000e+00
4.300000000000000711e+00,8.367889040120532473e-02,7.745017204789614307e-02,4.676353198266545996e-02,9.206586867485712367e-02,7.991732909005244689e-02,5.392222347058243936e-02,0.000000000000000000e+00
