Part,comX,comY,comZ
hub,-1.4257650000000002,4.000000000115023e-06,-0.0031360000000000277
sol left,-1.4257650000000002,3.000004,0.0018639999999999768
sol right,-1.4257650000000002,-2.999996,0.0018639999999999768
tank,0.298335,5.000000000254801e-06,-0.0031360000000000277
ant,-1.43503,-0.00254999999999983,1.009318
dock,-2.125765,1.0000000000065512e-05,-0.0031360000000000277
