Part,MOI1,MOI2,MOI3
Hub,0.34954427083333334,0.299609375,0.34954427083333334
Solar Panel,0.05333366666666667,0.0033336666666666666,0.05666666666666667
Fuel Tank,0.20416666666666664,0.20416666666666664,0.20416666666666664
Fuel in Tank,5.113124999999999,5.113124999999999,5.113124999999999
Antenna,0.0012510416666666666,0.0025,0.0012510416666666666
Docking Port,0.007596249999999999,0.01475,0.007596249999999999
